p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPARC	1.91399417396341e-151	8.92116817268186	0.075	0	4.6977073005758e-147
LINC00513	5.88256858841612e-151	2.00714846765475	0.3	0.126	1.44381763434085e-146
PDE4D	6.2122504303463e-151	1.81662116630775	0.375	0.188	1.5247347456242e-146
A2M-AS1	2.76095488756286e-149	-2.98896809802868	0.017	0.174	6.77648767603427e-145
PDE4B	2.9807866688077e-148	1.4746301606082	0.476	0.29	7.31604279992161e-144
RPL32	1.2098059885932e-147	-0.371544828625478	0.955	0.984	2.96934781840314e-143
NUSAP1	1.63035595020653e-147	3.11039245414083	0.151	0.031	4.00154564418691e-143
EIF3J	1.33048983942909e-146	1.57204600915212	0.459	0.271	3.26555426189477e-142
CXCL13	2.2783313259438e-146	3.82359570815675	0.109	0.012	5.59193640639647e-142
HLA-F	3.18096061854983e-146	-0.699859489622672	0.473	0.692	7.8073497421687e-142
RPL19	4.8061815096536e-146	-0.385261042249546	0.946	0.979	1.17962918972938e-141
MYO7A	1.42020528832451e-145	4.54993387419593	0.094	0.007	3.48575185966367e-141
RPL9	1.15589584503501e-144	-0.331928124527223	0.917	0.977	2.83703076205392e-140
CSKMT	1.47106192977103e-142	-1.38510041291698	0.164	0.366	3.61057440043e-138
HAVCR2	5.60167832801039e-142	3.44596582622646	0.124	0.02	1.37487592882687e-137
ZFP36L2	1.0173455312328e-141	0.746700620468665	0.865	0.85	2.49697287185779e-137
SRGAP3	6.37126153772021e-139	2.88363587828368	0.152	0.034	1.56376243181805e-134
TSHZ2	7.91013470604056e-139	2.50248224634055	0.137	0.026	1.94146346225059e-134
BX284668.6	9.7600551726677e-139	-3.01193495417223	0.036	0.193	2.39550794157956e-134
TSIX	9.51476240442921e-138	3.37843167338009	0.112	0.015	2.33530328454311e-133
GTF2B	9.94368255783419e-138	1.549602841218	0.353	0.172	2.44057744699482e-133
OTUD6B-AS1	1.66794469446241e-137	-1.32747436996256	0.217	0.417	4.09380345808855e-133
HCST	1.7421797363598e-137	-0.569183006629004	0.602	0.792	4.2760059449215e-133
SERBP1	1.98320822961305e-137	0.971908105754682	0.701	0.579	4.86758627876226e-133
MKI67	4.25196484604593e-137	4.01994026576259	0.107	0.013	1.04360225181351e-132
RPL14	5.51534933124166e-137	-0.412625382413135	0.911	0.971	1.35368733985995e-132
RHOH	1.18416515907926e-136	1.4207702443225	0.444	0.26	2.90641496644412e-132
RPS27	2.80674485943385e-136	-0.306885791096615	0.991	0.993	6.88887458299445e-132
RPLP2	7.48608291458485e-136	-0.350448761154696	0.952	0.982	1.8373841905557e-131
RPL39	1.73976959663945e-135	-0.358907081562756	0.968	0.977	4.27009049799187e-131
DUSP16	6.75693190101406e-135	2.01694896821344	0.272	0.113	1.65842136578489e-130
CD24	4.08916929030856e-134	6.31698124433203	0.073	0.002	1.00364571061333e-129
LGALS3	9.23820571346886e-133	2.03772435241324	0.281	0.125	2.2674252103138e-128
RPS19	2.53223324969889e-132	-0.406950957133041	0.973	0.986	6.21511328806096e-128
DNAJB1	2.69435082605672e-132	-1.13122025076953	0.644	0.792	6.61301466747361e-128
RPL34	1.00131613041476e-131	-0.31992393395482	0.964	0.985	2.45763031048998e-127
RPL35	1.0785843699998e-131	-0.39806382764583	0.907	0.966	2.64727747772752e-127
ATP2B1-AS1	1.48216586640503e-131	-2.10501755763735	0.068	0.237	3.6378279025045e-127
SELL	3.91192854432949e-131	1.6224110971463	0.226	0.077	9.60143741920229e-127
HSPA6	9.79644983482621e-131	-3.54008931351067	0.05	0.209	2.40444064745974e-126
IFI27	1.33164553849622e-130	5.35671774255263	0.082	0.005	3.26839080968512e-126
S100P	4.30058288935952e-130	5.35291767446261	0.076	0.003	1.0555350643644e-125
MCL1	3.30030381936212e-129	0.770108073168192	0.778	0.654	8.1002656942424e-125
FOS	4.51556982179305e-129	-0.718644882680167	0.584	0.777	1.10830145706089e-124
RPS25	8.84505466695555e-129	-0.362947438908983	0.91	0.976	2.17093021745757e-124
ICOS	1.8024085528413e-127	2.1304172324841	0.243	0.095	4.4238315520937e-123
NKTR	4.76212284846945e-125	-0.728538405818546	0.482	0.681	1.16881543192834e-120
EPS8	1.63119817484233e-124	-1.92943133519997	0.082	0.249	4.00361280033302e-120
RPL27	1.63804665710335e-124	-0.416110969987785	0.844	0.953	4.02042171519447e-120
PLEK	2.06003431154554e-124	-1.808187957577	0.088	0.261	5.05614821425738e-120
SNX9	2.33012431558471e-124	2.10818426125415	0.183	0.055	5.71905712017111e-120
SYAP1	6.00151586753828e-124	1.44294798110649	0.398	0.221	1.4730120545286e-119
CD160	6.33621563654293e-124	-3.21065222111433	0.024	0.162	1.5551607658331e-119
MAST4	2.34014567623038e-123	2.51720321088773	0.153	0.039	5.74365354773985e-119
KDM6B	5.34862769293835e-123	1.0188936734729	0.517	0.34	1.31276718095479e-118
PLCG2	6.90460453939629e-123	-0.701344960732032	0.481	0.682	1.69466613814942e-118
AP001160.1	9.04569086094961e-123	-1.81636762676939	0.14	0.315	2.22017436491147e-118
ZC3H12D	6.01753687135447e-122	2.25210671863392	0.195	0.065	1.47694424970524e-117
HLA-DRA	1.41188159967129e-121	1.67179527064932	0.33	0.169	3.46532219823321e-117
NASP	2.36814719965191e-121	1.0459197753209	0.525	0.353	5.81238048682564e-117
PFKFB3	1.34155146044544e-120	2.16107190011421	0.197	0.066	3.29270390451728e-116
MT-ND4	1.58159419844878e-120	-0.299986623970232	0.985	0.997	3.88186480067269e-116
TSC22D3	9.08455483651939e-120	0.839581032240932	0.689	0.553	2.22971313907532e-115
CYTIP	1.74973988464398e-118	1.06617928681191	0.575	0.417	4.29456157287019e-114
SLFN12L	2.67635474425442e-118	-0.950829798440679	0.188	0.394	6.56884508429805e-114
BTG3	3.24857796748597e-118	1.7024213704935	0.295	0.138	7.97330976339756e-114
ERN1	5.09036868939252e-118	-1.4240770301642	0.118	0.294	1.2493800911245e-113
PHLDA1	1.05966779133059e-117	1.88443910594612	0.27	0.122	2.60084862704181e-113
TOP2A	1.2475410105284e-117	4.39980440091354	0.09	0.011	3.06196465624091e-113
EEF1B2	4.27101180776493e-117	-0.381844011120565	0.698	0.91	1.04827713809782e-112
HEXIM1	7.79028698902951e-117	-0.615074008950569	0.472	0.685	1.9120480385874e-112
UBA52	9.10980579893868e-117	-0.395789882112393	0.884	0.959	2.23591073529151e-112
RPL8	1.44546803505525e-115	-0.387144490941006	0.876	0.962	3.5477567452396e-111
NAP1L1	2.22246344480114e-115	0.69252626050448	0.72	0.658	5.45481427891991e-111
ARL5B	4.12111143370314e-115	1.57473420424257	0.286	0.131	1.0114855902881e-110
IFI6	4.32226660144031e-115	2.26776814683675	0.256	0.114	1.06085711465751e-110
RPL10A	1.7113252140052e-114	-0.397775233523861	0.847	0.949	4.20027660525436e-110
AC025164.1	2.71195603722274e-114	-1.57882229770933	0.143	0.315	6.6562248977595e-110
EIF1AX	4.20048031052407e-114	1.0814387368171	0.536	0.375	1.03096588741503e-109
FN1	4.70089020695134e-114	5.08125237873833	0.072	0.005	1.15378649239414e-109
HNRNPA2B1	1.94957678173791e-113	-0.47254661217016	0.851	0.945	4.78504125309752e-109
MUC1	4.24099679762615e-113	5.39180888416382	0.067	0.003	1.04091025400936e-108
TRGC2	4.79760992562995e-113	-0.903643527310558	0.144	0.338	1.17752538014661e-108
MT-ND2	1.36995848740776e-112	-0.3252071904533	0.976	0.994	3.36242611149359e-108
SPTY2D1	1.87116862007206e-112	1.28328280285137	0.414	0.245	4.59259626110485e-108
IFI44L	2.07419158082793e-112	2.86805472257242	0.165	0.052	5.09089581598407e-108
CALM2	9.6229198128916e-112	0.735941545390352	0.685	0.59	2.36184943887611e-107
YPEL5	3.26305508637046e-111	1.16487022089159	0.592	0.483	8.00884240398766e-107
PPP1R15A	3.70390454691759e-111	-0.918725760536643	0.483	0.643	9.09086331995452e-107
RANBP2	6.58416075002674e-111	1.40607831790762	0.447	0.284	1.61601641448656e-106
DDX3Y	7.80659729861671e-111	-0.948051535886566	0.226	0.421	1.91605124097248e-106
BAG3	2.87059855963228e-110	1.50437543592626	0.212	0.077	7.04559710476147e-106
AKAP5	3.82069430436188e-110	2.72094935498842	0.15	0.043	9.37751210062579e-106
TC2N	5.6397798568935e-110	-1.0425286322555	0.193	0.375	1.38422756807594e-105
RPS24	1.43426264483696e-109	-0.290284979781311	0.96	0.982	3.52025423548784e-105
SLC7A5	1.49163683492755e-109	1.84883196991653	0.243	0.105	3.66107344764619e-105
FAM133B	2.3176304454658e-109	0.902487993082498	0.625	0.502	5.68839216535127e-105
POSTN	5.96684161767625e-109	11.4762341908356	0.054	0	1.46450160664246e-104
ARIH1	2.80090703786853e-108	1.22539467446498	0.439	0.278	6.87454623374451e-104
ANXA1	4.62435225204835e-108	-0.618653041810507	0.393	0.64	1.13500101674275e-103
GPRC5A	6.91201841088707e-108	7.31431471000578	0.055	0.001	1.69648579876812e-103
SLC27A2	2.53062743572543e-107	3.86036083204106	0.075	0.007	6.2111719782445e-103
HIF1A	1.40695621228523e-105	1.31285466979241	0.387	0.223	3.45323332743288e-101
ZRANB2	1.63217489233301e-105	-0.760977988936807	0.319	0.512	4.00601005574215e-101
CDKN1B	2.50496849185046e-105	1.08639926772542	0.503	0.342	6.14819466639777e-101
AC023157.3	4.14653130313055e-105	-2.37931418291578	0.042	0.175	1.01772464304036e-100
DUSP10	4.57207123199006e-105	2.01141696216311	0.179	0.061	1.12216916317964e-100
CXCL1	1.25627238434506e-104	7.94373841439414	0.053	0	3.08339494013651e-100
RPS5	1.40164634828298e-104	-0.400300001067272	0.784	0.929	3.44020079722576e-100
CENPF	4.81104730770732e-104	2.72011664853045	0.128	0.032	1.18082345120369e-99
RPL18	5.26004950826559e-104	-0.365239185863381	0.911	0.965	1.29102655130871e-99
CKS2	3.18416303757702e-102	1.0258454210975	0.348	0.183	7.81520975942904e-98
BCL2L11	5.82599280387005e-102	1.848776459051	0.213	0.085	1.42993167378186e-97
DTHD1	2.09874302578257e-101	-1.61303651097511	0.067	0.214	5.15115488248074e-97
NEU1	2.48654467353299e-101	-1.02563897725069	0.343	0.513	6.10297524671937e-97
TTTY15	3.70855566215279e-101	-2.08287219547863	0.072	0.211	9.10227901718782e-97
MT-ND3	4.94927779983675e-101	0.368006680791881	0.994	0.993	1.21475074319193e-96
SLC5A3	6.52204939208926e-101	1.20161163757031	0.392	0.234	1.60077180279439e-96
MX1	7.06887098136814e-101	2.07524246078641	0.242	0.11	1.734983693667e-96
CYBA	1.21998143298527e-100	-0.431879825996532	0.616	0.793	2.99432242911905e-96
SDCBP	3.58292893826611e-100	1.34052437210662	0.394	0.236	8.79394078608034e-96
AL627171.1	4.51602637495902e-100	-1.81100281196229	0.08	0.225	1.10841351346994e-95
ZNRF1	5.90242303343976e-100	2.1409449426266	0.175	0.062	1.44869070932745e-95
SAMD3	2.43344871532921e-99	-0.782648452334743	0.218	0.408	5.97265652690402e-95
HIST1H2BH	2.56517943644314e-99	-2.77849128792038	0.042	0.168	6.29597640880605e-95
TYMS	4.83919282045793e-99	3.66219134816813	0.072	0.007	1.18773148585319e-94
CXCL3	1.73611322229797e-98	6.63411339685796	0.053	0.001	4.26111629280814e-94
ADRB2	2.29910220581586e-98	-2.29189374091778	0.036	0.16	5.64291645395444e-94
MX2	3.34125104293596e-98	1.8769620608274	0.277	0.137	8.20076655978201e-94
YWHAE	3.64425765691609e-98	1.11338402768724	0.432	0.27	8.94446599313484e-94
G3BP2	1.11439225278408e-97	1.07379842830427	0.523	0.37	2.73516434523323e-93
ZC3HAV1	3.28002108623627e-97	0.919438345256029	0.602	0.504	8.0504837540583e-93
CD48	8.72110568875505e-97	-0.475544783129145	0.586	0.789	2.14050818024804e-92
GSPT1	1.05900668072556e-96	1.28421651977697	0.418	0.266	2.59922599717282e-92
RPL6	2.57989979838068e-96	-0.326095118118398	0.916	0.968	6.33210606514555e-92
ILF3-DT	3.99241091439797e-96	-0.734064424429553	0.218	0.398	9.79897334829837e-92
CCNT1	7.58212113884364e-96	1.23152922974824	0.324	0.171	1.86095581231778e-91
FTL	1.31565421353954e-95	-0.411174198640947	0.79	0.908	3.22914170171146e-91
CXCL2	3.18395229138732e-95	4.92987827656374	0.054	0.002	7.81469250398105e-91
EPM2AIP1	4.55989392769692e-95	-1.20242269689743	0.161	0.321	1.11918036561393e-90
RBBP8	1.50946999086829e-94	2.91875810439755	0.1	0.021	3.70484314558712e-90
SCML1	2.69066755882463e-94	1.79548060536538	0.156	0.05	6.60397445637917e-90
SOX4	9.22819007016459e-94	2.81905705777556	0.102	0.022	2.2649669708212e-89
ITPRIP	1.78148644331831e-93	2.14369049803671	0.135	0.039	4.37248032648046e-89
MRPS6	2.2826282221497e-93	1.37613476019373	0.321	0.174	5.60248270844424e-89
CMC1	2.98729332736037e-93	-1.63211486145212	0.168	0.321	7.3320127426733e-89
TSPAN8	1.44528375115075e-92	9.44180182473513	0.046	0	3.54730443882439e-88
PARP8	1.60113549411556e-92	-0.642001464391507	0.304	0.492	3.92982695675723e-88
RPL11	1.70234795188128e-92	-0.289358901651243	0.956	0.98	4.17824281309741e-88
PYHIN1	2.65634115397392e-92	-0.675845228052909	0.255	0.451	6.51972372831358e-88
PTPN4	2.93690792014788e-92	-1.00391491424562	0.184	0.347	7.20834679921096e-88
LCN2	1.22964808930566e-91	5.49670378132742	0.051	0.002	3.01804827039182e-87
CLK1	1.39973852300572e-91	0.657140117722396	0.689	0.582	3.43551823086523e-87
KMT2E	3.36907508995193e-91	0.758135474315494	0.682	0.584	8.26905790077801e-87
SLFN5	5.58760083968945e-91	-0.704233240900643	0.372	0.551	1.37142075009338e-86
ITGA2	9.58948641944312e-91	4.37599074500184	0.063	0.006	2.35364354678812e-86
TENT5C	1.38301605755283e-90	1.09677276094369	0.422	0.265	3.39447461165768e-86
CHD1	5.56034199430408e-90	1.01699705277066	0.503	0.362	1.36473033908199e-85
ITGB2	6.3929084030766e-90	-0.614786951543675	0.353	0.534	1.56907543845112e-85
SMC4	1.82216370024558e-89	1.55821782940966	0.318	0.181	4.47231858588276e-85
NFIL3	2.08922188306754e-89	2.56289453420844	0.117	0.031	5.12778618980096e-85
RPL18A	2.58835520343685e-89	-0.334515366123992	0.948	0.977	6.3528590113154e-85
KIR2DL4	2.93330625430455e-89	5.4525041046634	0.055	0.003	7.19950687056509e-85
CDK1	5.01004458459784e-89	4.19446481491338	0.062	0.006	1.22966534284369e-84
RLF	5.33521929279111e-89	1.20225450587476	0.298	0.153	1.30947622322265e-84
VDR	7.76701246394833e-89	3.42264384218902	0.077	0.012	1.90633553915148e-84
FAM177A1	8.94391431896771e-89	1.11101944863122	0.449	0.305	2.19519433044743e-84
MT-ND1	4.08680806784686e-88	-0.277278250103856	0.978	0.994	1.00306617217233e-83
CIRBP	4.85625099923714e-88	-0.543910135785244	0.474	0.652	1.19191824525276e-83
ARID5B	6.81623891398302e-88	1.41911160716881	0.391	0.253	1.67297767904799e-83
ISG15	7.40056675334366e-88	1.73833609677605	0.416	0.287	1.81639510394067e-83
GPR174	7.40826202441193e-88	-0.884811356764944	0.193	0.361	1.81828383127166e-83
AC023509.4	9.41567595018447e-88	-3.1657966380532	0.019	0.12	2.31098350521328e-83
LTB	3.26047784417629e-87	-0.75861622125689	0.423	0.58	8.00251682074629e-83
RBL2	6.79248449377827e-87	-0.772508375206307	0.303	0.469	1.66714739415294e-82
RPL5	4.24965385755645e-86	-0.299994759841996	0.859	0.954	1.04303504279865e-81
RPLP0	4.82993358703708e-86	-0.423745760948127	0.764	0.913	1.18545889960238e-81
CCR7	9.99428747935533e-86	1.84214197368664	0.227	0.104	2.45299791893297e-81
GK	1.34965436104505e-85	2.88152972362204	0.098	0.022	3.31259166374897e-81
LAYN	4.7019117203023e-85	3.72079680635987	0.061	0.006	1.154037212631e-80
FURIN	3.17796328046977e-84	2.27177828273437	0.133	0.042	7.79999307558501e-80
PGK1	3.9045528320022e-84	1.12785681057985	0.505	0.378	9.58333447086621e-80
SNRPG	7.44804875813811e-84	0.988688905974865	0.471	0.321	1.82804908719742e-79
NFKBIZ	8.50976965210762e-84	1.12476873393784	0.453	0.314	2.0886378634133e-79
EGR1	9.0059340082539e-84	-0.870900239989143	0.367	0.535	2.21041644298584e-79
AHR	2.21868907359894e-83	1.88878074843371	0.188	0.078	5.44555046224124e-79
AL450998.2	2.22056430362051e-83	-1.5641331075408	0.103	0.236	5.45015302680619e-79
RPL29	2.28392666836628e-83	-0.332641279143616	0.895	0.962	5.60566961483821e-79
TNFRSF1B	2.4201848836132e-83	1.43766623354547	0.401	0.283	5.94010177834024e-79
CD99	6.86261754389786e-83	-0.452282163985951	0.423	0.609	1.68436084997429e-78
RUNX3	9.44744242216071e-83	1.01502937391447	0.61	0.513	2.31878026809512e-78
MS4A1	1.05075550165899e-82	-3.4885037874379	0.006	0.093	2.57897430327182e-78
PFDN5	1.39470069402539e-82	-0.396598692739325	0.719	0.866	3.42315338341592e-78
METRNL	1.55081653301824e-82	1.78849051548846	0.243	0.126	3.80632409863996e-78
G0S2	5.71078375562178e-82	4.0018921413807	0.057	0.005	1.40165476497981e-77
PRRG4	1.24171706741332e-81	4.84382437332604	0.048	0.002	3.04767037025924e-77
MASTL	1.76170355873558e-81	1.79749912483569	0.139	0.046	4.32392521456062e-77
FRMD4B	1.88681983447778e-81	2.12571835378898	0.151	0.055	4.63101060174226e-77
EOMES	3.88886812539702e-81	-1.33710659906783	0.063	0.188	9.54483792697445e-77
CDKN1A	7.87145941817893e-81	1.21046502488846	0.294	0.158	1.93197099959784e-76
MYL6	2.12158481459275e-80	0.683397533510365	0.832	0.82	5.20721776893644e-76
SPRY1	9.97834115103358e-80	2.60277656216841	0.13	0.043	2.44908405210968e-75
