"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","46/931","106/17913",3.65290620930612e-31,1.66340065476494e-28,1.31085151051655e-28,"RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/UBA52",46
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","47/931","112/17913",5.22608670268492e-31,2.18145569114573e-28,1.71910746798846e-28,"HSPA5/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/UBA52",47
"GO:0006612","GO:0006612","protein targeting to membrane","50/931","167/17913",6.43971006733642e-25,2.48126982517601e-22,1.95537755081065e-22,"ATG3/HSPA5/KCNB1/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SDCBP/UBA52",50
"GO:0072594","GO:0072594","establishment of protein localization to organelle","81/931","452/17913",4.42758589257473e-23,1.5841269811362e-20,1.24837948098912e-20,"AKT1/BAG3/BNIP3L/CCT2/CCT3/CCT4/CDKN1A/DDIT3/DNAJA1/GSK3A/HAX1/HSP90AA1/HSPA5/HSPA8/IFNG/KPNA2/MOAP1/NUP62/PEX2/PHYH/PMAIP1/POT1/PPP1R10/RBM22/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/STAT3/TARDBP/TOMM7/TPR/TRIM28/UBA52/UBB/UBC/UBE2D1/UBE2D3/YWHAQ/ZC3H12A",81
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","59/931","275/17913",4.80507167649937e-21,1.60457360183902e-18,1.2644925464472e-18,"AHCYL1/AKT1/ALKBH5/CDK11A/CDK11B/CIRBP/CNOT7/DDX17/DDX5/DHX36/DHX9/EXOSC6/EXOSC9/GTPBP1/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HNRNPU/HSPA1A/HSPA8/KHSRP/PABPC1/PABPC4/PAF1/PRDX6/PSMC6/PTBP1/RBM4/RBM42/RBM8A/RNF20/RPS27A/SAP18/SECISBP2/SFSWAP/SMU1/SRSF3/SRSF6/SRSF7/SUPT6H/SYNCRIP/TARDBP/TNRC6B/TNRC6C/TOB1/TRA2B/UBA52/UBB/UBC/YTHDC1/ZBTB7A/ZC3H12A/ZC3HAV1/ZFP36/ZFP36L1/ZFP36L2",59
"GO:0090150","GO:0090150","establishment of protein localization to membrane","59/931","287/17913",4.45653714589499e-20,1.39517466023675e-17,1.09947462480962e-17,"ATG3/GOLGA7/GRASP/GRIP1/HSP90AA1/HSPA5/KCNB1/MOAP1/PMAIP1/RILPL2/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SDCBP/UBA52/VAMP2/YWHAQ",59
"GO:0006397","GO:0006397","mRNA processing","80/931","499/17913",1.07748578631693e-19,3.17478017862442e-17,2.50190198061208e-17,"AHCYL1/ALKBH5/BCAS2/BUD31/CCAR1/CCNH/CDK11A/CDK11B/CELF1/CRNKL1/DDX17/DDX5/DHX36/DHX9/FUS/GTF2F2/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HNRNPUL1/HSPA8/KHSRP/MAGOHB/MFAP1/PABPC1/PAF1/PCBP1/PCBP2/PCF11/PDCD7/PNN/POLR2A/POLR2C/POLR2H/PPWD1/PRCC/PRDX6/PRPF4/PTBP1/RBBP6/RBM22/RBM23/RBM27/RBM39/RBM4/RBM42/RBM8A/RNF20/SAP18/SF1/SF3A1/SFPQ/SFSWAP/SMNDC1/SMU1/SNRPG/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/SYNCRIP/TARDBP/TRA2A/TRA2B/TSEN34/YTHDC1/ZBTB7A/ZC3H13/ZFP36L1",80
"GO:0008380","GO:0008380","RNA splicing","74/931","440/17913",1.67030706913608e-19,4.64809339405701e-17,3.66295409898263e-17,"BCAS2/BUD31/CCAR1/CELF1/CLK1/CLK4/CRNKL1/DDX17/DDX5/DHX9/FUS/GTF2F2/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HNRNPUL1/HSPA1A/HSPA8/KHSRP/MAGOHB/MFAP1/PABPC1/PCBP1/PCBP2/PCF11/PDCD7/PNN/POLR2A/POLR2C/POLR2H/PPIG/PPP2CA/PPWD1/PRCC/PRDX6/PRPF4/PTBP1/RBM22/RBM39/RBM4/RBM42/RBM8A/RPS13/SAP18/SF1/SF3A1/SFPQ/SFSWAP/SMNDC1/SMU1/SNRPG/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/SYNCRIP/TARDBP/TRA2A/TRA2B/TSEN34/YTHDC1/ZBTB7A/ZC3H13",74
"GO:0006605","GO:0006605","protein targeting","65/931","364/17913",1.24832447790327e-18,3.29097753148289e-16,2.59347190700126e-16,"ATG3/BAG3/BNIP3L/CDC37/GSK3A/HAX1/HSP90AA1/HSPA5/HSPA8/KCNB1/PEX2/PHYH/RPL11/RPL12/RPL13/RPL14/RPL17/RPL18/RPL19/RPL21/RPL23/RPL24/RPL26/RPL27/RPL3/RPL31/RPL32/RPL34/RPL35/RPL36A/RPL38/RPL39/RPL4/RPL41/RPL7/RPL8/RPL9/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS16/RPS18/RPS19/RPS20/RPS23/RPS27/RPS27A/RPS29/RPS3/RPS3A/RPS5/RPS8/RPS9/RPSA/SDCBP/TOMM7/UBA52/UBB/UBC/UBE2D1/UBE2D3/YWHAQ",65
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","63/931","348/17913",2.12059541449744e-18,5.31103121560885e-16,4.18538568650811e-16,"BCAS2/BUD31/CCAR1/CELF1/CRNKL1/DDX17/DDX5/DHX9/FUS/GTF2F2/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HNRNPUL1/HSPA8/KHSRP/MAGOHB/MFAP1/PABPC1/PCBP1/PCBP2/PCF11/PDCD7/PNN/POLR2A/POLR2C/POLR2H/PPWD1/PRCC/PRDX6/PRPF4/PTBP1/RBM22/RBM4/RBM42/RBM8A/SAP18/SF1/SF3A1/SFPQ/SFSWAP/SMNDC1/SMU1/SNRPG/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SYMPK/SYNCRIP/TRA2A/TRA2B/YTHDC1/ZBTB7A",63
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","62/931","344/17913",5.00583159934011e-18,1.13973684004976e-15,8.98175526197388e-16,"BCAS2/BUD31/CCAR1/CELF1/CRNKL1/DDX17/DDX5/DHX9/FUS/GTF2F2/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HNRNPUL1/HSPA8/MAGOHB/MFAP1/PABPC1/PCBP1/PCBP2/PCF11/PDCD7/PNN/POLR2A/POLR2C/POLR2H/PPWD1/PRCC/PRDX6/PRPF4/PTBP1/RBM22/RBM4/RBM42/RBM8A/SAP18/SF1/SF3A1/SFPQ/SFSWAP/SMNDC1/SMU1/SNRPG/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SYMPK/SYNCRIP/TRA2A/TRA2B/YTHDC1/ZBTB7A",62
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","62/931","344/17913",5.00583159934011e-18,1.13973684004976e-15,8.98175526197388e-16,"BCAS2/BUD31/CCAR1/CELF1/CRNKL1/DDX17/DDX5/DHX9/FUS/GTF2F2/HNRNPA0/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HNRNPUL1/HSPA8/MAGOHB/MFAP1/PABPC1/PCBP1/PCBP2/PCF11/PDCD7/PNN/POLR2A/POLR2C/POLR2H/PPWD1/PRCC/PRDX6/PRPF4/PTBP1/RBM22/RBM4/RBM42/RBM8A/SAP18/SF1/SF3A1/SFPQ/SFSWAP/SMNDC1/SMU1/SNRPG/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SYMPK/SYNCRIP/TRA2A/TRA2B/YTHDC1/ZBTB7A",62
"GO:0043484","GO:0043484","regulation of RNA splicing","32/931","115/17913",2.14281917276454e-15,4.66668749407721e-13,3.67760727591168e-13,"CELF1/CLK1/CLK4/DDX17/DDX5/FUS/HNRNPA1/HNRNPA2B1/HNRNPH1/HNRNPK/HNRNPL/HNRNPU/HSPA1A/HSPA8/POLR2A/PRDX6/PTBP1/RBM22/RBM4/RBM42/RBM8A/RPS13/SAP18/SFSWAP/SMU1/SRSF3/SRSF5/SRSF6/SRSF7/TRA2B/YTHDC1/ZBTB7A",32
"GO:0050684","GO:0050684","regulation of mRNA processing","31/931","108/17913",2.26356956579436e-15,4.72425831460997e-13,3.72297625953019e-13,"AHCYL1/CDK11A/CDK11B/DDX17/DDX5/DHX36/DHX9/HNRNPA1/HNRNPA2B1/HNRNPK/HNRNPL/HNRNPU/HSPA8/PAF1/PRDX6/PTBP1/RBM4/RBM42/RBM8A/RNF20/SAP18/SFSWAP/SMU1/SRSF3/SRSF6/SRSF7/SUPT6H/TRA2B/YTHDC1/ZBTB7A/ZFP36L1",31
"GO:0006403","GO:0006403","RNA localization","43/931","208/17913",4.6222105174453e-15,9.26106099275341e-13,7.29822713280837e-13,"ALKBH5/BICD1/CCT2/CCT3/CCT4/DHX36/DHX9/EIF5A/ENY2/FLOT1/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPU/KHSRP/LRPPRC/MAGOHB/MRPL18/NAF1/NUP50/NUP62/NXF1/NXT1/POM121/POM121C/PURA/RBM8A/SFPQ/SIDT2/SMG5/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/TPR/YTHDC1/YY1/ZFP36/ZFP36L1",43
"GO:0006417","GO:0006417","regulation of translation","59/931","397/17913",2.51567204737262e-13,4.84653895588056e-11,3.81934015289365e-11,"AKT1/ATF4/CALR/CAPRIN2/CELF1/CIRBP/CNOT6/DDX3X/DHX36/DHX9/EEF2/EIF1/EIF1B/EIF2A/EIF3D/EIF3H/EIF3K/EIF4A2/EIF4B/EIF4G2/EIF5/EIF5A/KHSRP/LARP4/LRPPRC/MKNK2/NCK2/NCL/NGDN/NOTCH4/PABPC1/PER1/PPP1R15A/PPP1R15B/PURA/RARA/RBM3/RBM4/RBM8A/RGS2/RNF139/RPL26/RPL38/RPS14/RPS3/RPS6KA3/SERP1/STAT3/SYNCRIP/TNF/TNRC6B/TNRC6C/TOB1/TPR/USP16/ZC3H12A/ZFP36/ZFP36L1/ZFP36L2",59
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","52/931","328/17913",5.32180801444136e-13,9.8729393867914e-11,7.78042107374468e-11,"AKT1/ATXN3/CDC26/CDC34/CSNK1D/CUL4A/DDIT3/DERL2/DNAJB2/DNAJB9/EDEM3/FAF2/FBXL15/FBXW5/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/HSPA5/KLHL15/PCBP2/PELI1/PLK2/PLK3/PPP2R5C/PSMC6/RAD23A/RAD23B/RNF103/RNF126/RNF4/RPL11/RPS27A/SDCBP/SIRT1/SKP1/SUMO1/TAF1/TOPORS/TRIM38/UBA52/UBB/UBC/UBE2B/UBE2D1/UBE2D3/UBE2S/UBQLN1/UBXN1/USP19/ZFAND2A",52
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","63/931","452/17913",7.3117979360298e-13,1.30802842362762e-10,1.03079858120721e-10,"AKT1/ATF4/CALR/CAPRIN2/CELF1/CIRBP/CNOT6/DDX3X/DHX36/DHX9/EEF1A1/EEF2/EIF1/EIF1B/EIF2A/EIF3D/EIF3H/EIF3K/EIF4A2/EIF4B/EIF4G2/EIF5/EIF5A/GSK3A/KHSRP/LARP4/LRPPRC/MKNK2/NCK2/NCL/NGDN/NOTCH4/PABPC1/PDP1/PER1/PLK3/PPP1R15A/PPP1R15B/PURA/RARA/RBM3/RBM4/RBM8A/RGS2/RNF139/RPL26/RPL38/RPS14/RPS3/RPS6KA3/SERP1/STAT3/SYNCRIP/TNF/TNRC6B/TNRC6C/TOB1/TPR/USP16/ZC3H12A/ZFP36/ZFP36L1/ZFP36L2",63
"GO:0050657","GO:0050657","nucleic acid transport","36/931","176/17913",1.10602170075262e-12,1.84668756635662e-10,1.4552917115166e-10,"ALKBH5/DHX9/EIF5A/ENY2/FLOT1/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPU/KHSRP/LRPPRC/MAGOHB/MRPL18/NUP50/NUP62/NXF1/NXT1/POM121/POM121C/PURA/RBM8A/SFPQ/SIDT2/SMG5/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/TPR/YTHDC1/ZFP36/ZFP36L1",36
"GO:0050658","GO:0050658","RNA transport","36/931","176/17913",1.10602170075262e-12,1.84668756635662e-10,1.4552917115166e-10,"ALKBH5/DHX9/EIF5A/ENY2/FLOT1/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPU/KHSRP/LRPPRC/MAGOHB/MRPL18/NUP50/NUP62/NXF1/NXT1/POM121/POM121C/PURA/RBM8A/SFPQ/SIDT2/SMG5/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/TPR/YTHDC1/ZFP36/ZFP36L1",36
"GO:0051236","GO:0051236","establishment of RNA localization","36/931","179/17913",1.87510655136303e-12,3.029809263154e-10,2.38765689901913e-10,"ALKBH5/DHX9/EIF5A/ENY2/FLOT1/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPU/KHSRP/LRPPRC/MAGOHB/MRPL18/NUP50/NUP62/NXF1/NXT1/POM121/POM121C/PURA/RBM8A/SFPQ/SIDT2/SMG5/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/TPR/YTHDC1/ZFP36/ZFP36L1",36
"GO:0002181","GO:0002181","cytoplasmic translation","22/931","69/17913",2.5024085396322e-12,3.91705136719303e-10,3.08685263934893e-10,"DHX36/DHX9/EEF2/EIF3D/EIF3F/EIF3H/EIF3K/EIF5/RBM4/RPL11/RPL18/RPL19/RPL24/RPL31/RPL32/RPL36A/RPL38/RPL39/RPL41/RPL8/RPS23/RPS29",22
"GO:0015931","GO:0015931","nucleobase-containing compound transport","39/931","221/17913",1.61025455220219e-11,2.4000296423717e-09,1.8913558035313e-09,"ALKBH5/DHX9/EIF5A/ENY2/FLOT1/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPU/KHSRP/LRPPRC/MAGOHB/MRPL18/NUP50/NUP62/NXF1/NXT1/POM121/POM121C/PURA/RBM8A/SFPQ/SIDT2/SLC25A36/SLC25A4/SLC35A2/SMG5/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SUPT6H/SYMPK/TPR/YTHDC1/ZFP36/ZFP36L1",39
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","22/931","75/17913",1.62908779877496e-11,2.4000296423717e-09,1.8913558035313e-09,"DDX17/DDX5/HNRNPA1/HNRNPA2B1/HNRNPK/HNRNPL/HNRNPU/HSPA8/PRDX6/PTBP1/RBM4/RBM42/RBM8A/SAP18/SFSWAP/SMU1/SRSF3/SRSF6/SRSF7/TRA2B/YTHDC1/ZBTB7A",22
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","54/931","381/17913",1.74552404137514e-11,2.49809426378517e-09,1.96863613688926e-09,"AATF/ATXN2L/BICD1/C9orf72/CEBPZ/CELF1/CIRBP/CNOT6/CNOT7/CRNKL1/CUL4A/DDX17/DDX27/DDX3X/DHX9/DYNC1H1/EIF2A/EIF3D/EIF3F/EIF3H/EIF3K/EIF5/EXOSC6/EXOSC9/GNL2/HSP90AA1/HSP90AB1/IMP3/ISG20L2/NAF1/PATL1/PTGES3/RBFA/RPF2/RPL11/RPL14/RPL26/RPL27/RPL38/RPL7/RPS14/RPS16/RPS19/RPS23/RPS27/RPS9/SBDS/SF1/SF3A1/SIRT1/SNRPG/SRSF5/SRSF6/YTHDC1",54
"GO:0010498","GO:0010498","proteasomal protein catabolic process","54/931","382/17913",1.9338822825943e-11,2.69078232042079e-09,2.12048495898498e-09,"AKT1/ATXN3/CDC26/CDC34/CSNK1D/CUL4A/DDIT3/DERL2/DNAJB2/DNAJB9/EDEM3/FAF2/FBXL15/FBXW5/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/HSPA5/KLHL15/PCBP2/PELI1/PLK2/PLK3/PMAIP1/PPP2R5C/PSMC6/RAD23A/RAD23B/RNF103/RNF126/RNF139/RNF4/RPL11/RPS27A/SDCBP/SIRT1/SKP1/SUMO1/TAF1/TOPORS/TRIM38/UBA52/UBB/UBC/UBE2B/UBE2D1/UBE2D3/UBE2S/UBQLN1/UBXN1/USP19/ZFAND2A",54
